"LOCATIONNUMBER","OLDLOCATIONID","LOCATIONID","NAME","PHONE","EMAIL","ADDRESS1","ADDRESS2","CITY","STATE","POSTALCODE","COUNTRY","BUSINESSENTITYCODE","LOCATIONSTATUSNAME","LOCATIONSTATUSCODE","WEBSITEURL","LOCATIONDESCRIPTION","LOCATIONNAMEIDENTIFIER","ISCORPORATE","MAP"
"1320","","1872","Eugene","541--22-5-49","woodfieldstation@snapfitness.com","2862 Willamette Street","Suite A","Eugene","OR","97405","USA","snapfitness","Open","open","www.snapfitness.com/woodfieldstation","","Eugene - 1320","1","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_1320.pdf"
"1321","","4204","Ionia","616--52-2-03","ionia@snapfitness.com","3192 Commerce Lane","","Ionia","MI","48846","USA","snapfitness","Open","open","www.snapfitness.com/ionia","","Ionia - 1321","0",""
"1322","","4510","Hartsdale","914-205-0030","hartsdale@snapfitness.com","251 S. Central Ave.","","Hartsdale","NY","10530","USA","snapfitness","Open","open","www.snapfitness.com/hartsdale","","Hartsdale - 1322","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_1322.pdf"
"1323","","4193","Leitchfield","270-200-1352","leitchfield@snapfitness.com","1907 Elizabethtown Road","","Leitchfield","KY","42754","USA","snapfitness","Open","open","www.snapfitness.com/leitchfield","","Leitchfield - 1323","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_1323.pdf"
"1325","","1780","Jacksonville","541--70-2-07","jacksonvilleor@snapfitness.com","650 G Street","","Jacksonville","OR","97530","USA","snapfitness","Open","open","www.snapfitness.com/jacksonvilleor","","Jacksonville - 1325","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_1325.pdf"
"1326","","4105","Manchester","931-450-3430","manchester@snapfitness.com","1216 Hillsboro Blvd.","","Manchester","TN","37355","USA","snapfitness","Open","open","www.snapfitness.com/manchester","","Manchester - 1326","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_1326.pdf"
"1327","","4216","Bedford","947-306-2204","bedford@snapfitness.com.au","70 Walter Road West","","Bedford","WA","6052","AUS","snapfitness","Open","open","www.snapfitness.com/bedford","","Bedford - 1327","0",""
"1331","","4225","Joondalup","045-055-7627","joondalup@snapfitness.com.au","Unit 3/23 Franklin Lane","","Joondalup","WA","6027","AUS","snapfitness","Open","open","www.snapfitness.com/joondalup","","Joondalup - 1331","0",""
"1333","","4182","Hibbing","218--26-2-12","hibbing@snapfitness.com","2518 E. Beltline","Suite A","Hibbing","MN","55746","USA","snapfitness","Open","open","www.snapfitness.com/hibbing","","Hibbing - 1333","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_1333.pdf"
"1334","","4195","Baton Rouge","225-308-2018","BRperkinsrd@snapfitness.com","7731 Perkins Rd.","Suite 110","Baton Rouge","LA","70810","USA","snapfitness","Open","open","www.snapfitness.com/BRperkinsrd","","Baton Rouge - 1334","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_1334.pdf"
"1335","","4224","Idabel","580-910-5044","idabel@snapfitness.com","906 East Washington Street","","Idabel","OK","74745","USA","snapfitness","Open","open","www.snapfitness.com/idabelok","","Idabel - 1335","1","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_1335.pdf"
"1337","","2301","Coolidge","520-350-9252","coolidge@snapfitness.com","1491 N. Arizona Blvd.","Suite 104","Coolidge","AZ","85128","USA","snapfitness","Open","open","www.snapfitness.com/coolidge","","Coolidge - 1337","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_1337.pdf"
"1338","","4266","Dumas","870-493-3343","dumas@snapfitness.com","805 Hwy. 165 E","","Dumas","AR","71639","USA","snapfitness","Open","open","www.snapfitness.com/dumas","","Dumas - 1338","1","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_1338.pdf"
"134","","196","Minneapolis 2nd Ave. Skyway","612-338-3999","skyway1@snapfitness.com","250 2nd Ave So","Suite 282","Minneapolis","MN","55401","USA","snapfitness","Open","open","www.snapfitness.com/skyway1","","Minneapolis 2nd Ave. Skyway - 134","0",""
"1340","","4326","Meadville","814-350-2499","meadvillepa@snapfitness.com","19023 Park Ave. Plaza","","Meadville","PA","16335","USA","snapfitness","Open","open","www.snapfitness.com/meadvillepa","","Meadville - 1340","1","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_1340.pdf"
"1341","","4327","Portland","860--51-6-40","portlandct@snapfitness.com","336 Marlborough Street","","Portland","CT","06480","USA","snapfitness","Open","open","www.snapfitness.com/portlandct","","Portland - 1341","1","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_1341.pdf"
"1344","","4271","Sparta","616--20-5-57","spartami@snapfitness.com","630 S State St.","@ 12 - Mile Rd","Sparta","MI","49345","USA","snapfitness","Open","open","www.snapfitness.com/spartami","","Sparta - 1344","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_1344.pdf"
"1347","","4226","Clinton","860-552-2018","clintonct@snapfitness.com","266 East Main Street","Unit C1","Clinton","CT","06413","USA","snapfitness","Open","open","www.snapfitness.com/clintonct","","Clinton - 1347","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_1347.pdf"
"1349","","4250","Watchung","908-320-4247","watchung@snapfitness.com","1515 Route 22 West","","Watchung","NJ","07069","USA","snapfitness","Open","open","www.snapfitness.com/watchung","","Watchung - 1349","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_1349.pdf"
"135","","222","Watertown","612-221-2787","watertown@snapfitness.com","605 Lewis Ave. N","","Watertown","MN","55388","USA","snapfitness","Open","open","www.snapfitness.com/watertown","","Watertown - 135","0",""
"1351","","4457","Levelland","806-329-0004","levelland@snapfitness.com","209 College Ave.","","Levelland","TX","79336","USA","snapfitness","Open","open","www.snapfitness.com/levelland","","Levelland - 1351","1","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_1351.pdf"
"1352","","4458","Hereford","806-587-0050","hereford@snapfitness.com","819 S. 25 Mile Ave.","","Hereford","TX","79045","USA","snapfitness","Open","open","www.snapfitness.com/hereford","","Hereford - 1352","1","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_1352.pdf"
"1353","","4219","Mundelein","847-388-0288","mundelein@snapfitness.com","840 N IL Rte 83","","Mundelein","IL","60060","USA","snapfitness","Open","open","www.snapfitness.com/mundelein","","Mundelein - 1353","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_1353.pdf"
"1354","","1779","Medford","541--21-0-58","medfordor@snapfitness.com","930 North Phoenix Road","#101","Medford","OR","97504","USA","snapfitness","Open","open","www.snapfitness.com/medfordor","","Medford - 1354","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_1354.pdf"
"1355","","4463","Crossett","870--29-8-44","crossett@snapfitness.com","1410 Dr. Martin Luther King Jr. Drive","","Crossett","AR","71635","USA","snapfitness","Open","open","www.snapfitness.com/crossett","","Crossett - 1355","1","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_1355.pdf"
"1356","","1585","Rockdale","512--43-0-44","rockdaletx@snapfitness.com","734 West Cameron Ave.","","Rockdale","TX","76567","USA","snapfitness","Open","open","www.snapfitness.com/rockdaletx","","Rockdale - 1356","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_1356.pdf"
"1357","","4223","Tucumcari","575-708-7822","tucumcari@snapfitness.com","102 East Tucumcari Blvd.","","Tucumcari","NM","88401","USA","snapfitness","Open","open","www.snapfitness.com/tucumcari","","Tucumcari - 1357","1","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_1357.pdf"
"1358","","4459","Pollock Pines","(53-0) -344-","pollockpines@snapfitness.com","6454 Pony Express Trail","Suite 25","Pollock Pines","CA","95726","USA","snapfitness","Open","open","www.snapfitness.com/pollockpines","","Pollock Pines - 1358","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_1358.pdf"
"1359","","4484","Littlefield","806-221-2676","littlefieldtx@snapfitness.com","1607 South Phelps Ave.","","Littlefield","TX","79339","USA","snapfitness","Open","open","www.snapfitness.com/littlefieldtx","","Littlefield - 1359","1","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_1359.pdf"
"136","","142","Montgomery","507-364-8050","montgomery@snapfitness.com","300 1st St. North","","Montgomery","MN","56069","USA","snapfitness","Open","open","www.snapfitness.com/montgomery","","Montgomery - 136","0",""
"1360","","4476","Lafayette","765--44-8-32","lafayettein@snapfitness.com","3830 State Route 26 E.","","Lafayette","IN","47905","USA","snapfitness","Open","open","www.snapfitness.com/lafayettein","","Lafayette - 1360","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_1360.pdf"
"1361","","1830","Holland","616--35-5-10","hollandwashington@snapfitness.com","1153 Washington Ave.","Suite C and D","Holland","MI","49423","USA","snapfitness","Open","open","www.snapfitness.com/hollandwashington","","Holland - 1361","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_1361.pdf"
"1362","","4346","Rockport","361-386-2909","rockport@snapfitness.com","2810 Hwy 35 N.","","Rockport","TX","78382","USA","snapfitness","Open","open","www.snapfitness.com/rockport","","Rockport - 1362","1","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_1362.pdf"
"1364","","4493","Brady","325-718-4774","bradytx@snapfitness.com","2209 S. Bridge Street","Suite 100","Brady","TX","76825","USA","snapfitness","Open","open","www.snapfitness.com/bradytx","","Brady - 1364","1","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_1364.pdf"
"1365","","1748","Little Rock-Downtown","501-246-8266","littlerockdowntown@snapfitness.com","1401 W. Capitol Ave.","Plaza A","Little Rock","AR","72201","USA","snapfitness","Open","open","www.snapfitness.com/littlerockdowntown","","Little Rock-Downtown - 1365","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_1365.pdf"
"1366","","4496","Madison","440--29-0-42","madisonoh@snapfitness.com","6581 North Ridge Road","","Madison","OH","44057","USA","snapfitness","Open","open","www.snapfitness.com/madisonoh","","Madison - 1366","1","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_1366.pdf"
"1368","","4329","Terrell","972--56-3-17","terrell@snapfitness.com","111 S. H. 205 Suite 106","","Terrell","TX","75160","USA","snapfitness","Open","open","www.snapfitness.com/terrell","","Terrell - 1368","1","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_1368.pdf"
"1370","","4507","Pittsburg","903--59-8-78","pittsburgtx@snapfitness.com","300 South Greer Blvd","","Pittsburg","TX","75686","USA","snapfitness","Open","open","www.snapfitness.com/pittsburgtx","","Pittsburg - 1370","1","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_1370.pdf"
"1371","","2016","Grand Island","716-775-8486","grandislandny@snapfitness.com","2055 Baseline Road","","Grand Island","NY","14072","USA","snapfitness","Open","open","www.snapfitness.com/grandislandny","","Grand Island - 1371","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_1371.pdf"
"1372","","4500","Springfield-West","217-546-3655","springfieldwest@snapfitness.com","1929 West Iles Road.","","Springfield","IL","62704","USA","snapfitness","Open","open","www.snapfitness.com/springfieldwest","","Springfield-West - 1372","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_1372.pdf"
"1376","","1865","Poulsbo","360- 93-0 61","poulsbo@snapfitness.com","1016 N.E. Forest Rock Lane","#115","Poulsbo","WA","98370","USA","snapfitness","Open","open","www.snapfitness.com/poulsbo","","Poulsbo - 1376","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_1376.pdf"
"1377","","4330","Wills Point","903--87-3-88","willspoint@snapfitness.com","130 S. 4th St.","Suite 100","Wills Point","TX","75169","USA","snapfitness","Open","open","www.snapfitness.com/willspoint","","Wills Point - 1377","1","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_1377.pdf"
"1378","","4464","Kalamazoo-Milwood","269-903-2640","milwood@snapfitness.com","4209 Portage Road","","Kalamazoo","MI","49001","USA","snapfitness","Open","open","www.snapfitness.com/kalamazoomilwood","","Kalamazoo-Milwood - 1378","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_1378.pdf"
"1379","","4465","Kalamazoo-Oakland","269-903-2650","oakland@snapfitness.com","2026 Parkview Ave.","","Kalamazoo","MI","49008","USA","snapfitness","Open","open","www.snapfitness.com/kalamazoooakland","","Kalamazoo-Oakland - 1379","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_1379.pdf"
"138","","42","Chatham","217--89-1-30","chatham@snapfitness.com","1061 Jason Pl.","","Chatham","IL","62629","USA","snapfitness","Open","open","www.snapfitness.com/chatham","","Chatham - 138","1",""
"1380","","4506","Rice","320-584-2020","ricemn@snapfitness.com","420 Division St.","","Rice","MN","56367","USA","snapfitness","Open","open","www.snapfitness.com/ricemn","","Rice - 1380","0",""
"1381","","4527","Polk City","515--33-9-70","polkcity@snapfitness.com","1010 South 3rd Street, 1B","","Polk City","IA","50226","USA","snapfitness","Open","open","www.snapfitness.com/polkcity","","Polk City - 1381","0",""
"1383","","4531","Springtown","817-382-4343","springtown@snapfitness.com","511 East Highway 199","","Springtown","TX","76082","USA","snapfitness","Open","open","www.snapfitness.com/springtown","","Springtown - 1383","1","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_1383.pdf"
"1384","","4528","Hayden Lake","208--20-9-70","haydenlake@snapfitness.com","231 W. Hayden Ave.","","Hayden Lake","ID","83835","USA","snapfitness","Open","open","www.snapfitness.com/haydenlake","","Hayden Lake - 1384","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_1384.pdf"
"1386","","4456","Greenville","(61-6) -828-","greenvillemi@snapfitness.com","701 S. Greenville West Dr.","Suite 16","Greenville","MI","48838","USA","snapfitness","Open","open","www.snapfitness.com/greenvillemi","","Greenville - 1386","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_1386.pdf"
"139","","135","Metairie","504-304-7321","metairie2@snapfitness.com","3501 Severn Ave.","","Metairie","LA","70002","USA","snapfitness","Open","open","www.snapfitness.com/metairie2","","Metairie - 139","0",""
"1390","","4342","Mt. Spokane","509-209-8288","mtspokane@snapfitness.com","14017 N. Newport Hwy.","Suite C","Spokane","WA","99021","USA","snapfitness","Open","open","www.snapfitness.com/mtspokane","","Mt. Spokane - 1390","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_1390.pdf"
"1391","","1870","Corvallis Crossing","541--23-0-53","corvalliscrossing@snapfitness.com","948 NW Circle Blvd.","","Corvallis","OR","97330","USA","snapfitness","Open","open","www.snapfitness.com/corvalliscrossing","","Corvallis Crossing - 1391","1","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_1391.pdf"
"1394","","4202","Canal Fulton","330--46-0-44","canalfulton@snapfitness.com","2264 Locust Street","","Canal Fulton","OH","44614","USA","snapfitness","Open","open","www.snapfitness.com/canalfulton","","Canal Fulton - 1394","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_1394.pdf"
"1395","","4244","Spring","281--20-3-00","spring@snapfitness.com","8714 Spring Cypress Rd. Suite 100","","Spring","TX","77379","USA","snapfitness","Open","open","www.snapfitness.com/spring","","Spring - 1395","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_1395.pdf"
"1396","","4552","St. Cloud-5th Ave.","320-227-8047","stcloud5thave@snapfitness.com","305 5th Avenue South","","St. Cloud","MN","56301","USA","snapfitness","Open","open","www.snapfitness.com/stcloud5thave","","St. Cloud-5th Ave. - 1396","0",""
"1397","","4556","Quinlan","903--22-6-71","quinlan@snapfitness.com","723 East Quinlan Pkwy","","Quinlan","TX","75474","USA","snapfitness","Open","open","www.snapfitness.com/quinlan","","Quinlan - 1397","1","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_1397.pdf"
"1398","","4557","Zumbrota","507-732-7047","zumbrota@snapfitness.com","92 West 5th Street","","Zumbrota","MN","55992","USA","snapfitness","Open","open","www.snapfitness.com/zumbrota","","Zumbrota - 1398","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_1398.pdf"
"1399","","4489","Spearwood","042-148-8803","spearwood@snapfitness.com.au","218 Rockingham Road","","Spearwood","WA","6163","AUS","snapfitness","Open","open","www.snapfitness.com/spearwood","","Spearwood - 1399","0",""
"14","","4","Alexandria","320-762-8879","alexandria@snapfitness.com","410 30th Ave. East","","Alexandria","MN","56308","USA","snapfitness","Open","open","www.snapfitness.com/alexandria","","Alexandria - 14","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_14.pdf"
"1400","","4482","Collins","601-806-2686","collins@snapfitness.com","3275 Hwy 49 Suite 10","","Collins","MS","39428","USA","snapfitness","Open","open","www.snapfitness.com/collins","","Collins - 1400","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_1400.pdf"
"1401","","4488","Cannington","043-581-6070","cannington@snapfitness.com.au","1448 Albany Hwy","","Cannington","WA","6107","AUS","snapfitness","Open","open","www.snapfitness.com/cannington","","Cannington - 1401","0",""
"1406","","4045","Edina","952-314-1499","edina2@snapfitness.com","5125 Edina Industrial Blvd.","","Edina","MN","55439","USA","snapfitness","Open","open","www.snapfitness.com/edina2","","Edina - 1406","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_1406.pdf"
"1408","","4586","Trinidad","719--42-2-47","trinidad@snapfitness.com","2202 Freedom Road","","Trinidad","CO","81082","USA","snapfitness","Open","open","www.snapfitness.com/trinidad","","Trinidad - 1408","1","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_1408.pdf"
"1409","","4585","Mentor on the Lake","440--29-0-49","mentoronthelake@snapfitness.com","5903 Andrews Road","","Mentor on the Lake","OH","44060","USA","snapfitness","Open","open","www.snapfitness.com/mentoronthelake","","Mentor on the Lake - 1409","1","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_1409.pdf"
"1410","","4592","Middlefield","440--29-0-48","middlefield@snapfitness.com","15425 West High Street","","Middlefield","OH","44062","USA","snapfitness","Open","open","www.snapfitness.com/middlefield","","Middlefield - 1410","1","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_1410.pdf"
"1411","","4684","Hawkinsville","478-246-4955","hawkinsville@snapfitness.com","58 Surrey Plaza","","Hawkinsville","GA","31036","USA","snapfitness","Open","open","www.snapfitness.com/hawkinsville","","Hawkinsville - 1411","1","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_1411.pdf"
"1412","","1758","Walnutport","610-767-2616","walnutport@snapfitness.com","200 S Best Ave.","","Walnutport","PA","18088","USA","snapfitness","Open","open","www.snapfitness.com/walnutport","","Walnutport - 1412","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_1412.pdf"
"1413","","2207","Ft. Payne","256-273-0400","ftpayne@snapfitness.com","2605 Gault Ave. North","Suite 500","Ft. Payne","AL","35967","USA","snapfitness","Open","open","www.snapfitness.com/ftpayne","","Ft. Payne - 1413","0",""
"1415","","4598","Granbury","817--24-3-00","granbury@snapfitness.com","1030 East Highway 377 Suite 128","","Granbury","TX","76048-1457","USA","snapfitness","Open","open","www.snapfitness.com/granbury","","Granbury - 1415","1","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_1415.pdf"
"1416","","4574","Willis","936--70-1-50","willistx@snapfitness.com","12501 Canyon Falls Blvd.","","Willis","TX","77318","USA","snapfitness","Open","open","www.snapfitness.com/willistx","","Willis - 1416","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_1416.pdf"
"1417","","4624","Woodland Park","719-686-6494","woodlandpark@snapfitness.com","1131 E US Highway 24","","Woodland Park","CO","80863","USA","snapfitness","Open","open","www.snapfitness.com/woodlandpark","","Woodland Park - 1417","1","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_1417.pdf"
"1419","","4628","Indianola","662--59-5-40","indianolams@snapfitness.com","510 US Highway 82 West, Suite H","","Indianola","MS","38751","USA","snapfitness","Open","open","www.snapfitness.com/indianolams","","Indianola - 1419","1","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_1419.pdf"
"142","","194","Shawnee","913--44-1-94","shawnee@snapfitness.com","5437 Roberts Street","","Shawnee","KS","66226","USA","snapfitness","Open","open","www.snapfitness.com/shawnee","","Shawnee - 142","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_142.pdf"
"1422","","4550","Timaru","036-844-430","timaru@snapfitness.com","99 Evans Street","","Timaru","CA","7910","NZL","snapfitness","Open","open","www.snapfitness.com/timaru","","Timaru - 1422","0",""
"1423","","4637","Ellenwood","404--99-6-16","ellenwood@snapfitness.com","115 Fairview Rd.","","Ellenwood","GA","30294","USA","snapfitness","Open","open","www.snapfitness.com/ellenwood","","Ellenwood - 1423","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_1423.pdf"
"1424","","4564","Kelso","360-200-1160","kelso@snapfitness.com","218 Kelso Dr.","","Kelso","WA","98626","USA","snapfitness","Open","open","www.snapfitness.com/kelso","","Kelso - 1424","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_1424.pdf"
"1425","","4071","Plano","815-570-5244","planoil@snapfitness.com","6518-6524 West Rt. 34","","Plano","IL","60545","USA","snapfitness","Open","open","www.snapfitness.com/planoil","","Plano - 1425","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_1425.pdf"
"1426","","4642","Lakeway","512--27-5-69","lakeway@snapfitness.com","2501 Ranch Road 620 South","Suite 140","Lakeway","TX","78734","USA","snapfitness","Open","open","www.snapfitness.com/lakeway","","Lakeway - 1426","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_1426.pdf"
"1429","","4079","Jonesborough","423-218-0005","jonesborough@snapfitness.com","413 Boones Creek Road","","Jonesborough","TN","37659","USA","snapfitness","Open","open","www.snapfitness.com/jonesborough","","Jonesborough - 1429","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_1429.pdf"
"143","","22","Becker","763-262-5995","becker@snapfitness.com","14275 Bank St.","","Becker","MN","55308","USA","snapfitness","Open","open","www.snapfitness.com/becker","","Becker - 143","0",""
"1430","","4183","Walton","859--44-9-44","walton@snapfitness.com","11085 Clay Drive","","Walton","KY","41094","USA","snapfitness","Open","open","www.snapfitness.com/walton","","Walton - 1430","1","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_1430.pdf"
"1431","","4665","Royston","706-498-9636","royston@snapfitness.com","1053 Franklin Springs Street","","Royston","GA","30662","USA","snapfitness","Open","open","www.snapfitness.com/royston","","Royston - 1431","1","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_1431.pdf"
"1432","","4666","Guymon","580-377-1258","guymon@snapfitness.com","1924 Highway N 64","","Guymon","OK","73942","USA","snapfitness","Open","open","www.snapfitness.com/guymon","","Guymon - 1432","1","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_1432.pdf"
"1434","","4676","Ashburton","033-070-350","ashburton@snapfitness.com","Unit 2 – 146 Moore St","","Ashburton","CA","7700","NZL","snapfitness","Open","open","www.snapfitness.com/ashburton","","Ashburton - 1434","0",""
"1436","","4680","Dallas-North","972-905-5072","northdallastx@snapfitness.com","6911 Frankford Road Suite 700","","Dallas","TX","75252","USA","snapfitness","Open","open","www.snapfitness.com/northdallastx","","Dallas-North - 1436","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_1436.pdf"
"1437","","4685","Portales","575-359-7100","portales@snapfitness.com","1608 East Spruce Street Suite 100","Portales Plaza Shopping Center","Portales","NM","88130","USA","snapfitness","Open","open","www.snapfitness.com/portales","","Portales - 1437","1","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_1437.pdf"
"144","","59","Des Moines","515--33-9-70","desmoines1@snapfitness.com","4123 University Ave.","","Des Moines","IA","50311","USA","snapfitness","Open","open","www.snapfitness.com/desmoines1","","Des Moines - 144","0",""
"1440","","4160","Alpine","616--63-5-23","alpine@snapfitness.com","746 4 Mile Road North West","Suite A","Comstock Park","MI","49321","USA","snapfitness","Open","open","www.snapfitness.com/alpine","","Alpine - 1440","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_1440.pdf"
